"Code","Country","HDI","EXPECTATIVAVIDA","EXPECTCOLE","YEARS_SCHOOLING","GNI_GROSSNATIONALINCOME","infoalawk","d7","d100","%poburb18","%pobrur18","GS_2017","PPP_2018","StringencyIndex","Indice","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)","Contagd100"
"SAU","Saudi Arabia",0.857,74.998,16.9791,9.67145098,49338.40957,2,2020-03-16,2020-06-09,83.84,16.16,5.23025318980217,23338.9634581127,68.52,0.3234982,"Sin apoyo",15.6766543082956,6,108571
"SEN","Senegal",0.5138,67.665,8.97107,3.068934,3255.987639,2,2020-03-16,2020-06-09,47.19,52.81,4.13406379520893,1465.59100640191,41.67,-0.2678156,"Sin apoyo",82.3474783150678,48,4516
"SGP","Singapore",0.9348,83.458,16.32817,11.49649,83792.67432,2,2020-02-06,2020-05-01,100,0,4.44038286805153,66188.7793961798,19.44,2.231474,"Sin apoyo",7952.9984184018,2,17101
"SLE","Sierra Leone",0.4385,54.309,10.17593,3.6,1381.299109,1,2020-04-14,2020-07-08,42.05,57.95,13.4209275245667,533.991184258936,78.7,-1.142948,"Sin apoyo",105.987170961485,15,1584
"SLV","El Salvador",0.6667,73.096,12.03557,6.942757762,6973.458016,2,2020-04-02,2020-06-26,72.02,27.98,7.22756013274193,4067.65944881154,88.89,-0.4471425,"Menos del 50% del sueldo",309.881467181467,7,5517
"SRB","Serbia",0.7993,75.849,14.76615,11.18071012,15217.69707,2,2020-03-20,2020-06-13,56.09,43.91,8.43395814299583,7246.19198607054,81.48,0.1116198,"Sin apoyo",79.8376857992225,14,12251
"SUR","Suriname",0.7237,71.57,12.85875,9.125367134,11932.99266,2,2020-03-28,2020-06-21,66.06,33.94,6.2297698110342,6003.723065571,71.3,-0.6553037,"Sin apoyo",3.69225,9,314
"SVN","Slovenia",0.9016,81.172,17.42218,12.27337909,32143.04239,2,2020-03-19,2020-06-12,54.54,45.46,8.18701758980751,26054.5421049784,67.59,1.125806,"Sin apoyo",102.96366052404,7,1490
"SWE","Sweden",0.9366,82.654,18.83223,12.42604923,47955.44724,0,2020-02-15,2020-05-10,87.43,12.57,11.0187463462353,54589.0603860606,0,1.830975,"Sin apoyo",24.9814981218237,7,26846
"SYC","Seychelles",0.8014,73.333,15.45254,9.672806259,25076.87309,2,2020-03-28,2020-06-21,56.69,43.31,5.0067350268364,16390.824875738,41.67,0.502284,"Sin apoyo",210.352173913043,3,11
"TGO","Togo",0.5127,60.76,12.56833,4.949925584,1592.536702,2,2020-03-20,2020-06-13,41.7,58.3,6.19951225817204,678.95563806112,61.11,-1.057791,"Sin apoyo",145.046773303916,7,530
"THA","Thailand",0.7646,76.931,14.6502963,7.731400914,16128.54767,0,2020-02-05,2020-04-30,49.95,50.05,3.74601632356644,7295.47561612095,0,0.3499596,"Sin apoyo",135.897206835131,1,2954
"TJK","Tajikistan",0.656,70.879,11.40786,10.67167179,3482.378737,2,2020-05-14,2020-08-07,27.13,72.87,7.22881481051445,826.621530538704,51.85,-1.097704,"Sin apoyo",65.5727141724908,2,7706
"TUN","Tunisia",0.7392,76.505,15.10152,7.172257455,10676.96362,2,2020-03-18,2020-06-11,68.94,31.05,7.23245739936829,3438.78908914627,48.15,-0.1052618,"Sin apoyo",74.4413233779609,16,1087
"TUR","Turkey",0.8065,77.437,16.439128,7.667909126,24905.38066,2,2020-03-25,2020-06-18,75.14,24.86,4.21630293130875,9370.1763549731,67.59,0.0060968,"Sin apoyo",106.960128893104,11,184031
"UGA","Uganda",0.5282,62.973,11.24256,6.090251,1752.210989,2,2020-04-04,2020-06-28,23.77,76.23,6.18775598704815,767.097759575903,93.52,-0.6060399,"Sin apoyo",213.061734490325,9,859
"UKR","Ukraine",0.7497,71.953,15.07384705,11.34,7994.213212,2,2020-03-17,2020-06-10,69.35,30.65,6.99532032012939,3096.81740221352,77.78,-0.4152199,"Menos del 50% del sueldo",77.0296708039151,9,29015
"URY","Uruguay",0.8078,77.77,16.34484,8.728716877,19434.85186,2,2020-03-27,2020-06-20,95.33,4.67,9.29621160030365,17277.9701101852,62.96,0.5582148,"Menos del 50% del sueldo",19.7080276539824,8,859
"ZAF","South Africa",0.7049,63.857,13.66788,10.24064634,11756.29842,2,2020-03-19,2020-06-12,66.36,33.65,8.11311826109886,6374.02819575944,55.56,0.3403786,"Sin apoyo",47.6301197767684,28,61927
"ZMB","Zambia",0.5915,63.51,12.06104,7.104178868,3581.886613,2,2020-04-01,2020-06-25,43.52,56.48,4.47034128010273,1556.33448154128,47.22,-0.5592093,"Sin apoyo",23.3414789007116,15,1497
"ZWE","Zimbabwe",0.5631,61.195,10.45108,8.342245697,2661.072065,2,2020-04-03,2020-06-27,32.21,67.79,6.63591623306274,1683.74057709465,87.96,-1.19886,"Sin apoyo",37.3245909267158,11,567
